2026-08-11 16:13:00,794 [INFO] __main__: [353/1439] 301069.SZ: fetched=229, saved=188, filtered=40, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:01,189 [INFO] __main__: [354/1439] 301070.SZ: fetched=63, saved=62, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:01,372 [INFO] __main__: [355/1439] 301079.SZ: fetched=161, saved=160, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:01,708 [INFO] __main__: [356/1439] 301083.SZ: fetched=87, saved=74, filtered=12, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:03,696 [INFO] __main__: [357/1439] 301085.SZ: fetched=166, saved=166, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:03,792 [INFO] __main__: [358/1439] 301086.SZ: fetched=54, saved=54, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:03,967 [INFO] __main__: [359/1439] 301095.SZ: fetched=176, saved=176, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:04,876 [INFO] __main__: [360/1439] 301099.SZ: fetched=254, saved=253, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:04,956 [INFO] __main__: [361/1439] 301107.SZ: fetched=47, saved=47, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:13:05,108 [INFO] __main__: [362/1439] 301112.SZ: fetched=119, saved=50, filtered=69, err=0 | 进度: 62只/分, 预计剩余: 18分
2026-08-11 16:13:05,426 [INFO] __main__: [363/1439] 301117.SZ: fetched=69, saved=61, filtered=7, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:05,884 [INFO] __main__: [364/1439] 301120.SZ: fetched=109, saved=108, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:05,980 [INFO] __main__: [365/1439] 301121.SZ: fetched=65, saved=65, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:06,956 [INFO] __main__: [366/1439] 301123.SZ: fetched=264, saved=261, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:07,714 [INFO] __main__: [367/1439] 301128.SZ: fetched=273, saved=190, filtered=83, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:08,649 [INFO] __main__: [368/1439] 301131.SZ: fetched=121, saved=94, filtered=24, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:08,987 [INFO] __main__: [369/1439] 301132.SZ: fetched=80, saved=78, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:10,724 [INFO] __main__: [370/1439] 301135.SZ: fetched=363, saved=362, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:10,919 [INFO] __main__: [371/1439] 301136.SZ: fetched=110, saved=94, filtered=16, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:12,742 [INFO] __main__: [372/1439] 301137.SZ: fetched=153, saved=150, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:12,820 [INFO] __main__: [373/1439] 301138.SZ: fetched=34, saved=13, filtered=20, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:12,982 [INFO] __main__: [374/1439] 301139.SZ: fetched=106, saved=106, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:13,141 [INFO] __main__: [375/1439] 301141.SZ: fetched=43, saved=42, filtered=1, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:13,281 [INFO] __main__: [376/1439] 301150.SZ: fetched=167, saved=93, filtered=74, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:13,408 [INFO] __main__: [377/1439] 301152.SZ: fetched=38, saved=38, filtered=0, err=0 | 进度: 62只/分, 预计剩余: 17分
2026-08-11 16:13:13,535 [INFO] __main__: [378/1439] 301157.SZ: fetched=100, saved=100, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:14,134 [INFO] __main__: [379/1439] 301159.SZ: fetched=168, saved=152, filtered=12, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:15,506 [INFO] __main__: [380/1439] 301160.SZ: fetched=81, saved=81, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:16,112 [INFO] __main__: [381/1439] 301161.SZ: fetched=145, saved=143, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:17,093 [INFO] __main__: [382/1439] 301163.SZ: fetched=310, saved=309, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:17,478 [INFO] __main__: [383/1439] 301165.SZ: fetched=190, saved=190, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:19,285 [INFO] __main__: [384/1439] 301168.SZ: fetched=53, saved=51, filtered=1, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:20,591 [INFO] __main__: [385/1439] 301172.SZ: fetched=234, saved=190, filtered=44, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:21,997 [INFO] __main__: [386/1439] 301175.SZ: fetched=75, saved=55, filtered=20, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:22,179 [INFO] __main__: [387/1439] 301176.SZ: fetched=136, saved=136, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:23,218 [INFO] __main__: [388/1439] 301178.SZ: fetched=153, saved=147, filtered=5, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:23,344 [INFO] __main__: [389/1439] 301179.SZ: fetched=103, saved=103, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:23,439 [INFO] __main__: [390/1439] 301180.SZ: fetched=110, saved=108, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:23,548 [INFO] __main__: [391/1439] 301182.SZ: fetched=135, saved=134, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:23,631 [INFO] __main__: [392/1439] 301183.SZ: fetched=51, saved=47, filtered=4, err=0 | 进度: 63只/分, 预计剩余: 17分
2026-08-11 16:13:23,700 [INFO] __main__: [393/1439] 301186.SZ: fetched=45, saved=45, filtered=0, err=0 | 进度: 63只/分, 预计剩余: 17分
