2026-08-11 16:22:44,583 [INFO] __main__: [410/795] 605068.SH: fetched=26, saved=26, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:44,709 [INFO] __main__: [411/795] 605069.SH: fetched=8, saved=8, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:45,634 [INFO] __main__: [412/795] 605086.SH: fetched=176, saved=28, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:47,730 [INFO] __main__: [413/795] 605088.SH: fetched=104, saved=94, filtered=9, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:50,883 [INFO] __main__: [414/795] 605090.SH: fetched=426, saved=244, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:22:51,537 [INFO] __main__: [415/795] 605111.SH: fetched=16, saved=16, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:22:52,487 [INFO] __main__: [416/795] 605118.SH: fetched=5, saved=3, filtered=2, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:22:52,661 [INFO] __main__: [417/795] 605123.SH: fetched=254, saved=23, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:22:52,731 [INFO] __main__: [418/795] 605128.SH: fetched=7, saved=7, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:53,431 [INFO] __main__: [419/795] 605133.SH: fetched=10, saved=10, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:53,896 [INFO] __main__: [420/795] 605158.SH: fetched=16, saved=16, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:54,281 [INFO] __main__: [421/795] 605186.SH: fetched=171, saved=22, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:54,878 [INFO] __main__: [422/795] 605189.SH: fetched=174, saved=73, filtered=1, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:54,971 [INFO] __main__: [423/795] 605208.SH: fetched=1, saved=1, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
