2026-08-11 16:14:53,367 [INFO] __main__: [496/1439] 301538.SZ: fetched=361, saved=359, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 15分
2026-08-11 16:14:53,726 [INFO] __main__: [497/1439] 301539.SZ: fetched=60, saved=60, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:53,893 [INFO] __main__: [498/1439] 301550.SZ: fetched=41, saved=41, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:54,070 [INFO] __main__: [499/1439] 301552.SZ: fetched=157, saved=152, filtered=4, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:55,399 [INFO] __main__: [500/1439] 301555.SZ: fetched=91, saved=90, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:56,285 [INFO] __main__: [501/1439] 301556.SZ: fetched=94, saved=67, filtered=27, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:57,202 [INFO] __main__: [502/1439] 301557.SZ: fetched=67, saved=65, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:14:58,721 [INFO] __main__: [503/1439] 301560.SZ: fetched=181, saved=178, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:14:58,866 [INFO] __main__: [504/1439] 301563.SZ: fetched=88, saved=88, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:14:59,190 [INFO] __main__: [505/1439] 301565.SZ: fetched=157, saved=157, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:00,479 [INFO] __main__: [506/1439] 301566.SZ: fetched=359, saved=357, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:00,559 [INFO] __main__: [507/1439] 301567.SZ: fetched=52, saved=51, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:01,016 [INFO] __main__: [508/1439] 301568.SZ: fetched=74, saved=74, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:01,845 [INFO] __main__: [509/1439] 301571.SZ: fetched=68, saved=67, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:02,008 [INFO] __main__: [510/1439] 301575.SZ: fetched=165, saved=99, filtered=66, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:02,174 [INFO] __main__: [511/1439] 301583.SZ: fetched=28, saved=27, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:02,569 [INFO] __main__: [512/1439] 301584.SZ: fetched=93, saved=92, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:03,453 [INFO] __main__: [513/1439] 301586.SZ: fetched=74, saved=73, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:03,913 [INFO] __main__: [514/1439] 301587.SZ: fetched=108, saved=108, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:04,765 [INFO] __main__: [515/1439] 301588.SZ: fetched=75, saved=75, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:05,641 [INFO] __main__: [516/1439] 301591.SZ: fetched=128, saved=42, filtered=86, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:06,946 [INFO] __main__: [517/1439] 301592.SZ: fetched=80, saved=79, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:07,979 [INFO] __main__: [518/1439] 301595.SZ: fetched=150, saved=149, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:08,497 [INFO] __main__: [519/1439] 301596.SZ: fetched=157, saved=157, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:09,220 [INFO] __main__: [520/1439] 301598.SZ: fetched=338, saved=199, filtered=137, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:09,554 [INFO] __main__: [521/1439] 301599.SZ: fetched=86, saved=83, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:10,208 [INFO] __main__: [522/1439] 301600.SZ: fetched=240, saved=185, filtered=52, err=0 | 进度: 65只/分, 预计剩余: 14分
2026-08-11 16:15:10,365 [INFO] __main__: [523/1439] 301602.SZ: fetched=97, saved=95, filtered=1, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:10,527 [INFO] __main__: [524/1439] 301603.SZ: fetched=130, saved=119, filtered=11, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:11,275 [INFO] __main__: [525/1439] 301611.SZ: fetched=217, saved=215, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:11,762 [INFO] __main__: [526/1439] 301613.SZ: fetched=313, saved=311, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:11,984 [INFO] __main__: [527/1439] 301616.SZ: fetched=57, saved=56, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:12,188 [INFO] __main__: [528/1439] 301622.SZ: fetched=235, saved=233, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:12,939 [INFO] __main__: [529/1439] 301628.SZ: fetched=236, saved=234, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:13,565 [INFO] __main__: [530/1439] 301629.SZ: fetched=128, saved=125, filtered=2, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:13,708 [INFO] __main__: [531/1439] 301631.SZ: fetched=94, saved=94, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:15:14,782 [INFO] __main__: [532/1439] 301632.SZ: fetched=80, saved=74, filtered=5, err=0 | 进度: 66只/分, 预计剩余: 14分
