2026-08-11 15:35:30,513 [INFO] __main__: [176/2280] 002045.SZ: fetched=154, saved=136, filtered=16, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:30,676 [INFO] __main__: [177/2280] 002046.SZ: fetched=289, saved=177, filtered=111, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:31,251 [INFO] __main__: [178/2280] 002048.SZ: fetched=210, saved=182, filtered=27, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:33,387 [INFO] __main__: [179/2280] 002049.SZ: fetched=677, saved=529, filtered=145, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:34,841 [INFO] __main__: [180/2280] 002050.SZ: fetched=298, saved=261, filtered=36, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:35,099 [INFO] __main__: [181/2280] 002052.SZ: fetched=74, saved=73, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:35,262 [INFO] __main__: [182/2280] 002055.SZ: fetched=218, saved=217, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:35,464 [INFO] __main__: [183/2280] 002056.SZ: fetched=326, saved=287, filtered=38, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:42,461 [INFO] __main__: [184/2280] 002057.SZ: fetched=254, saved=222, filtered=32, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:43,270 [INFO] __main__: [185/2280] 002058.SZ: fetched=27, saved=18, filtered=9, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:43,403 [INFO] __main__: [186/2280] 002059.SZ: fetched=138, saved=138, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:43,552 [INFO] __main__: [187/2280] 002061.SZ: fetched=144, saved=144, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:43,619 [INFO] __main__: [188/2280] 002062.SZ: fetched=37, saved=27, filtered=10, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:44,804 [INFO] __main__: [189/2280] 002063.SZ: fetched=363, saved=357, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:46,288 [INFO] __main__: [190/2280] 002067.SZ: fetched=164, saved=161, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:47,278 [INFO] __main__: [191/2280] 002068.SZ: fetched=89, saved=71, filtered=18, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:47,580 [INFO] __main__: [193/2280] 002073.SZ: fetched=339, saved=272, filtered=67, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:48,362 [INFO] __main__: [194/2280] 002074.SZ: fetched=401, saved=338, filtered=62, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:50,126 [INFO] __main__: [195/2280] 002075.SZ: fetched=57, saved=41, filtered=16, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:51,262 [INFO] __main__: [196/2280] 002076.SZ: fetched=234, saved=159, filtered=75, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:52,304 [INFO] __main__: [197/2280] 002077.SZ: fetched=124, saved=115, filtered=9, err=0 | 进度: 59只/分, 预计剩余: 36分
2026-08-11 15:35:53,145 [INFO] __main__: [198/2280] 002079.SZ: fetched=184, saved=183, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:53,266 [INFO] __main__: [199/2280] 002080.SZ: fetched=114, saved=87, filtered=25, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:55,097 [INFO] __main__: [200/2280] 002083.SZ: fetched=436, saved=341, filtered=94, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:57,374 [INFO] __main__: [201/2280] 002085.SZ: fetched=305, saved=267, filtered=29, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:35:57,600 [INFO] __main__: [202/2280] 002088.SZ: fetched=80, saved=73, filtered=7, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:57,950 [INFO] __main__: [203/2280] 002090.SZ: fetched=196, saved=68, filtered=127, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:58,581 [INFO] __main__: [204/2280] 002091.SZ: fetched=186, saved=159, filtered=22, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:58,760 [INFO] __main__: [205/2280] 002096.SZ: fetched=173, saved=145, filtered=25, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:35:59,428 [INFO] __main__: [206/2280] 002097.SZ: fetched=135, saved=67, filtered=68, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:36:00,712 [INFO] __main__: [207/2280] 002101.SZ: fetched=193, saved=181, filtered=11, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:36:05,003 [INFO] __main__: [208/2280] 002108.SZ: fetched=283, saved=257, filtered=25, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:36:06,384 [INFO] __main__: [209/2280] 002111.SZ: fetched=266, saved=226, filtered=39, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:36:06,678 [INFO] __main__: [210/2280] 002116.SZ: fetched=87, saved=82, filtered=5, err=0 | 进度: 58只/分, 预计剩余: 35分
2026-08-11 15:36:08,737 [INFO] __main__: [211/2280] 002117.SZ: fetched=325, saved=324, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:36:09,404 [INFO] __main__: [212/2280] 002119.SZ: fetched=47, saved=43, filtered=2, err=0 | 进度: 58只/分, 预计剩余: 36分
2026-08-11 15:36:09,605 [INFO] __main__: [213/2280] 002121.SZ: fetched=159, saved=159, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 35分
2026-08-11 15:36:09,729 [INFO] __main__: [214/2280] 002123.SZ: fetched=116, saved=112, filtered=4, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:36:10,030 [INFO] __main__: [215/2280] 002124.SZ: fetched=501, saved=266, filtered=234, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:36:10,226 [INFO] __main__: [216/2280] 002125.SZ: fetched=257, saved=115, filtered=141, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:36:11,102 [INFO] __main__: [217/2280] 002126.SZ: fetched=115, saved=92, filtered=21, err=0 | 进度: 59只/分, 预计剩余: 35分
2026-08-11 15:36:11,332 [INFO] __main__: [218/2280] 002129.SZ: fetched=299, saved=254, filtered=43, err=0 | 进度: 59只/分, 预计剩余: 35分

Process running. session_id: eaa081824031
Elapsed: 223.4s
Wait target not observed: '回补完成!'
