2026-08-11 15:29:42,285 [WARNING] __main__: 000795.SZ 触发频率限制，等待 4s 后重试 (attempt 2/3)
2026-08-11 15:29:46,582 [WARNING] __main__: 000795.SZ 触发频率限制，等待 8s 后重试 (attempt 3/3)
2026-08-11 15:31:12,647 [INFO] __main__: [185/2280] 002058.SZ: fetched=27, saved=18, filtered=9, err=0 | 进度: 92只/分, 预计剩余: 23分
2026-08-11 15:31:12,740 [INFO] __main__: [186/2280] 002059.SZ: fetched=138, saved=138, filtered=0, err=0 | 进度: 93只/分, 预计剩余: 23分
2026-08-11 15:31:12,846 [INFO] __main__: [187/2280] 002061.SZ: fetched=144, saved=144, filtered=0, err=0 | 进度: 94只/分, 预计剩余: 22分
2026-08-11 15:31:12,889 [INFO] __main__: [188/2280] 002062.SZ: fetched=37, saved=27, filtered=10, err=0 | 进度: 94只/分, 预计剩余: 22分
2026-08-11 15:31:12,996 [INFO] __main__: [189/2280] 002063.SZ: fetched=363, saved=363, filtered=0, err=0 | 进度: 94只/分, 预计剩余: 22分
2026-08-11 15:31:13,053 [INFO] __main__: [190/2280] 002067.SZ: fetched=164, saved=164, filtered=0, err=0 | 进度: 94只/分, 预计剩余: 22分
2026-08-11 15:31:13,100 [INFO] __main__: [191/2280] 002068.SZ: fetched=89, saved=71, filtered=18, err=0 | 进度: 95只/分, 预计剩余: 22分
2026-08-11 15:31:13,274 [INFO] __main__: [193/2280] 002073.SZ: fetched=339, saved=272, filtered=67, err=0 | 进度: 96只/分, 预计剩余: 22分
2026-08-11 15:31:13,394 [INFO] __main__: [194/2280] 002074.SZ: fetched=401, saved=339, filtered=62, err=0 | 进度: 96只/分, 预计剩余: 22分
2026-08-11 15:31:13,452 [INFO] __main__: [195/2280] 002075.SZ: fetched=57, saved=41, filtered=16, err=0 | 进度: 97只/分, 预计剩余: 22分
2026-08-11 15:31:13,562 [INFO] __main__: [196/2280] 002076.SZ: fetched=234, saved=159, filtered=75, err=0 | 进度: 97只/分, 预计剩余: 21分
2026-08-11 15:31:13,631 [INFO] __main__: [197/2280] 002077.SZ: fetched=124, saved=115, filtered=9, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:13,709 [INFO] __main__: [198/2280] 002079.SZ: fetched=184, saved=184, filtered=0, err=0 | 进度: 98只/分, 预计剩余: 21分
2026-08-11 15:31:13,785 [INFO] __main__: [199/2280] 002080.SZ: fetched=114, saved=89, filtered=25, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:13,914 [INFO] __main__: [200/2280] 002083.SZ: fetched=436, saved=342, filtered=94, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:14,008 [INFO] __main__: [201/2280] 002085.SZ: fetched=305, saved=276, filtered=29, err=0 | 进度: 100只/分, 预计剩余: 21分
2026-08-11 15:31:14,079 [INFO] __main__: [202/2280] 002088.SZ: fetched=80, saved=73, filtered=7, err=0 | 进度: 99只/分, 预计剩余: 21分
2026-08-11 15:31:14,119 [WARNING] __main__: 002090.SZ 触发频率限制，等待 2s 后重试 (attempt 1/3)
