2026-08-11 16:18:53,963 [INFO] __main__: [118/795] 601127.SH: fetched=1000, saved=25, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 9分
2026-08-11 16:18:54,260 [INFO] __main__: [119/795] 601137.SH: fetched=1000, saved=7, filtered=479, err=0 | 进度: 73只/分, 预计剩余: 9分
2026-08-11 16:18:54,312 [INFO] __main__: [120/795] 601138.SH: fetched=15, saved=15, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 9分
2026-08-11 16:18:54,415 [INFO] __main__: [121/795] 601163.SH: fetched=74, saved=74, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 9分
2026-08-11 16:18:56,411 [INFO] __main__: [122/795] 601168.SH: fetched=655, saved=329, filtered=302, err=0 | 进度: 73只/分, 预计剩余: 9分
2026-08-11 16:18:57,361 [INFO] __main__: [123/795] 601177.SH: fetched=79, saved=69, filtered=9, err=0 | 进度: 73只/分, 预计剩余: 9分
2026-08-11 16:18:59,206 [INFO] __main__: [124/795] 601186.SH: fetched=379, saved=248, filtered=42, err=0 | 进度: 72只/分, 预计剩余: 9分
2026-08-11 16:19:00,360 [INFO] __main__: [125/795] 601208.SH: fetched=580, saved=76, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 9分
2026-08-11 16:19:00,571 [INFO] __main__: [126/795] 601212.SH: fetched=191, saved=67, filtered=17, err=0 | 进度: 73只/分, 预计剩余: 9分
2026-08-11 16:19:02,373 [INFO] __main__: [127/795] 601222.SH: fetched=633, saved=253, filtered=17, err=0 | 进度: 72只/分, 预计剩余: 9分
2026-08-11 16:19:06,881 [INFO] __main__: [128/795] 601226.SH: fetched=746, saved=71, filtered=105, err=0 | 进度: 69只/分, 预计剩余: 10分
2026-08-11 16:19:07,700 [INFO] __main__: [129/795] 601231.SH: fetched=1000, saved=16, filtered=162, err=0 | 进度: 70只/分, 预计剩余: 10分
2026-08-11 16:19:10,870 [INFO] __main__: [130/795] 601238.SH: fetched=1000, saved=15, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:11,399 [INFO] __main__: [131/795] 601279.SH: fetched=18, saved=18, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:15,361 [INFO] __main__: [132/795] 601311.SH: fetched=540, saved=147, filtered=9, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:16,130 [INFO] __main__: [133/795] 601360.SH: fetched=41, saved=41, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 10分
2026-08-11 16:19:16,256 [INFO] __main__: [134/795] 601369.SH: fetched=62, saved=62, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:16,645 [INFO] __main__: [135/795] 601515.SH: fetched=1000, saved=40, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:16,739 [INFO] __main__: [136/795] 601598.SH: fetched=27, saved=8, filtered=3, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:16,961 [INFO] __main__: [137/795] 601600.SH: fetched=286, saved=121, filtered=16, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:17,151 [INFO] __main__: [138/795] 601606.SH: fetched=32, saved=32, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:18,917 [INFO] __main__: [139/795] 601608.SH: fetched=166, saved=92, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:21,141 [INFO] __main__: [140/795] 601609.SH: fetched=1000, saved=148, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:21,589 [INFO] __main__: [141/795] 601611.SH: fetched=69, saved=62, filtered=7, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:21,715 [INFO] __main__: [142/795] 601615.SH: fetched=59, saved=59, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:21,938 [INFO] __main__: [143/795] 601633.SH: fetched=187, saved=161, filtered=26, err=0 | 进度: 68只/分, 预计剩余: 10分
2026-08-11 16:19:22,262 [INFO] __main__: [144/795] 601669.SH: fetched=1000, saved=26, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 9分
2026-08-11 16:19:25,177 [INFO] __main__: [145/795] 601677.SH: fetched=411, saved=234, filtered=8, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:25,979 [INFO] __main__: [146/795] 601678.SH: fetched=49, saved=44, filtered=5, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:27,080 [INFO] __main__: [147/795] 601689.SH: fetched=108, saved=101, filtered=6, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:29,797 [INFO] __main__: [148/795] 601698.SH: fetched=61, saved=56, filtered=5, err=0 | 进度: 66只/分, 预计剩余: 10分
2026-08-11 16:19:30,476 [INFO] __main__: [149/795] 601702.SH: fetched=49, saved=32, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:31,417 [INFO] __main__: [150/795] 601717.SH: fetched=118, saved=118, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:33,282 [INFO] __main__: [151/795] 601718.SH: fetched=229, saved=227, filtered=1, err=0 | 进度: 66只/分, 预计剩余: 10分
2026-08-11 16:19:33,362 [INFO] __main__: [152/795] 601727.SH: fetched=22, saved=22, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:33,429 [INFO] __main__: [153/795] 601728.SH: fetched=18, saved=18, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:33,533 [INFO] __main__: [154/795] 601766.SH: fetched=48, saved=48, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:33,599 [INFO] __main__: [155/795] 601798.SH: fetched=32, saved=32, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 9分
2026-08-11 16:19:37,031 [INFO] __main__: [156/795] 601799.SH: fetched=33, saved=33, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 10分
2026-08-11 16:19:37,479 [INFO] __main__: [157/795] 601800.SH: fetched=1000, saved=13, filtered=200, err=0 | 进度: 67只/分, 预计剩余: 10分
2026-08-11 16:19:37,628 [INFO] __main__: [158/795] 601801.SH: fetched=110, saved=92, filtered=1, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:38,098 [INFO] __main__: [159/795] 601868.SH: fetched=1000, saved=31, filtered=24, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:38,684 [INFO] __main__: [161/795] 601877.SH: fetched=105, saved=33, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 9分
2026-08-11 16:19:40,253 [INFO] __main__: [162/795] 601890.SH: fetched=34, saved=34, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 9分
2026-08-11 16:19:40,946 [INFO] __main__: [163/795] 601899.SH: fetched=183, saved=22, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:41,970 [INFO] __main__: [164/795] 601956.SH: fetched=359, saved=136, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:42,903 [INFO] __main__: [165/795] 601958.SH: fetched=49, saved=45, filtered=4, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:46,119 [INFO] __main__: [166/795] 601965.SH: fetched=444, saved=125, filtered=2, err=0 | 进度: 66只/分, 预计剩余: 9分
2026-08-11 16:19:46,569 [INFO] __main__: [167/795] 601966.SH: fetched=1000, saved=34, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:47,140 [INFO] __main__: [168/795] 601969.SH: fetched=124, saved=112, filtered=0, err=0 | 进度: 67只/分, 预计剩余: 9分
2026-08-11 16:19:47,467 [INFO] __main__: [169/795] 601985.SH: fetched=151, saved=109, filtered=42, err=0 | 进度: 67只/分, 预计剩余: 9分

Process running. session_id: 2f7d83535964
Elapsed: 153.6s
Wait target not observed: '回补完成!'
