2026-08-11 16:20:39,860 [INFO] __main__: [229/795] 603200.SH: fetched=94, saved=58, filtered=36, err=0 | 进度: 67只/分, 预计剩余: 8分
2026-08-11 16:20:39,981 [INFO] __main__: [230/795] 603203.SH: fetched=74, saved=74, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:40,141 [INFO] __main__: [231/795] 603206.SH: fetched=75, saved=75, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:40,417 [INFO] __main__: [232/795] 603210.SH: fetched=198, saved=122, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:41,105 [INFO] __main__: [233/795] 603211.SH: fetched=110, saved=40, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:41,945 [INFO] __main__: [234/795] 603212.SH: fetched=63, saved=63, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:43,120 [INFO] __main__: [235/795] 603215.SH: fetched=61, saved=61, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:43,893 [INFO] __main__: [236/795] 603218.SH: fetched=622, saved=96, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:44,007 [INFO] __main__: [237/795] 603219.SH: fetched=32, saved=32, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:44,453 [INFO] __main__: [238/795] 603220.SH: fetched=29, saved=29, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:46,129 [INFO] __main__: [239/795] 603228.SH: fetched=994, saved=168, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:47,170 [INFO] __main__: [240/795] 603232.SH: fetched=130, saved=40, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:48,948 [INFO] __main__: [241/795] 603236.SH: fetched=639, saved=232, filtered=5, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:49,752 [INFO] __main__: [242/795] 603239.SH: fetched=14, saved=14, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:50,052 [INFO] __main__: [243/795] 603261.SH: fetched=16, saved=16, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:51,212 [INFO] __main__: [244/795] 603266.SH: fetched=34, saved=34, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:51,422 [INFO] __main__: [245/795] 603267.SH: fetched=284, saved=122, filtered=4, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:51,655 [INFO] __main__: [246/795] 603270.SH: fetched=177, saved=118, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:53,388 [INFO] __main__: [247/795] 603271.SH: fetched=177, saved=79, filtered=0, err=0 | 进度: 68只/分, 预计剩余: 8分
2026-08-11 16:20:53,543 [INFO] __main__: [248/795] 603273.SH: fetched=63, saved=63, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:53,677 [INFO] __main__: [249/795] 603275.SH: fetched=30, saved=30, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:53,936 [INFO] __main__: [250/795] 603276.SH: fetched=371, saved=91, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:54,132 [INFO] __main__: [251/795] 603277.SH: fetched=212, saved=16, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:54,253 [INFO] __main__: [252/795] 603278.SH: fetched=19, saved=19, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:54,364 [INFO] __main__: [253/795] 603280.SH: fetched=45, saved=45, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:54,431 [INFO] __main__: [254/795] 603282.SH: fetched=16, saved=16, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:54,968 [INFO] __main__: [255/795] 603283.SH: fetched=547, saved=334, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:56,064 [INFO] __main__: [256/795] 603285.SH: fetched=23, saved=22, filtered=1, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:56,196 [INFO] __main__: [257/795] 603286.SH: fetched=30, saved=28, filtered=2, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:56,674 [INFO] __main__: [258/795] 603290.SH: fetched=4, saved=4, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:58,022 [INFO] __main__: [259/795] 603296.SH: fetched=129, saved=129, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:58,111 [INFO] __main__: [260/795] 603297.SH: fetched=34, saved=29, filtered=5, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:58,325 [INFO] __main__: [261/795] 603298.SH: fetched=71, saved=44, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:58,617 [INFO] __main__: [262/795] 603305.SH: fetched=710, saved=88, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:58,829 [INFO] __main__: [263/795] 603306.SH: fetched=40, saved=22, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:59,121 [INFO] __main__: [265/795] 603312.SH: fetched=64, saved=64, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:20:59,338 [INFO] __main__: [266/795] 603315.SH: fetched=69, saved=53, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 7分
2026-08-11 16:20:59,724 [INFO] __main__: [267/795] 603316.SH: fetched=75, saved=52, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 7分
2026-08-11 16:21:00,317 [INFO] __main__: [268/795] 603319.SH: fetched=207, saved=20, filtered=8, err=0 | 进度: 72只/分, 预计剩余: 7分
2026-08-11 16:21:00,622 [INFO] __main__: [269/795] 603327.SH: fetched=390, saved=80, filtered=150, err=0 | 进度: 72只/分, 预计剩余: 7分
2026-08-11 16:21:01,042 [INFO] __main__: [270/795] 603328.SH: fetched=328, saved=104, filtered=31, err=0 | 进度: 72只/分, 预计剩余: 7分
2026-08-11 16:21:01,419 [INFO] __main__: [272/795] 603331.SH: fetched=191, saved=39, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 7分
2026-08-11 16:21:01,577 [INFO] __main__: [273/795] 603332.SH: fetched=18, saved=18, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 7分
2026-08-11 16:21:01,733 [INFO] __main__: [274/795] 603333.SH: fetched=37, saved=37, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 7分
2026-08-11 16:21:01,951 [INFO] __main__: [275/795] 603335.SH: fetched=476, saved=35, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 7分
2026-08-11 16:21:02,099 [INFO] __main__: [276/795] 603338.SH: fetched=115, saved=115, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 7分
2026-08-11 16:21:02,325 [INFO] __main__: [277/795] 603341.SH: fetched=159, saved=71, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 7分
2026-08-11 16:21:02,434 [INFO] __main__: [278/795] 603344.SH: fetched=33, saved=33, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 7分
2026-08-11 16:21:02,951 [INFO] __main__: [279/795] 603348.SH: fetched=1000, saved=25, filtered=7, err=0 | 进度: 74只/分, 预计剩余: 7分
2026-08-11 16:21:03,359 [INFO] __main__: [280/795] 603350.SH: fetched=263, saved=67, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 7分
2026-08-11 16:21:13,852 [INFO] __main__: [281/795] 603355.SH: fetched=38, saved=38, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
2026-08-11 16:21:14,785 [INFO] __main__: [282/795] 603360.SH: fetched=55, saved=54, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 7分
