2026-08-11 16:08:41,231 [INFO] __main__: [90/1439] 300466.SZ: fetched=75, saved=74, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 22分
2026-08-11 16:08:42,432 [INFO] __main__: [91/1439] 300470.SZ: fetched=323, saved=321, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 22分
2026-08-11 16:08:42,793 [INFO] __main__: [92/1439] 300471.SZ: fetched=94, saved=87, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:43,792 [INFO] __main__: [93/1439] 300472.SZ: fetched=90, saved=67, filtered=23, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:45,010 [INFO] __main__: [94/1439] 300473.SZ: fetched=167, saved=157, filtered=10, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:46,601 [INFO] __main__: [95/1439] 300474.SZ: fetched=632, saved=533, filtered=96, err=0 | 进度: 60只/分, 预计剩余: 22分
2026-08-11 16:08:50,520 [INFO] __main__: [96/1439] 300476.SZ: fetched=604, saved=600, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:52,440 [INFO] __main__: [97/1439] 300477.SZ: fetched=203, saved=131, filtered=71, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:53,149 [INFO] __main__: [98/1439] 300479.SZ: fetched=187, saved=171, filtered=12, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:53,458 [INFO] __main__: [99/1439] 300480.SZ: fetched=176, saved=111, filtered=65, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:54,427 [INFO] __main__: [100/1439] 300484.SZ: fetched=89, saved=86, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:55,671 [INFO] __main__: [101/1439] 300486.SZ: fetched=176, saved=147, filtered=27, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:56,269 [INFO] __main__: [102/1439] 300487.SZ: fetched=31, saved=30, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:56,937 [INFO] __main__: [103/1439] 300488.SZ: fetched=34, saved=25, filtered=9, err=0 | 进度: 59只/分, 预计剩余: 23分
2026-08-11 16:08:58,559 [INFO] __main__: [104/1439] 300489.SZ: fetched=302, saved=301, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:09:03,221 [INFO] __main__: [105/1439] 300490.SZ: fetched=1000, saved=820, filtered=176, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:09:04,152 [INFO] __main__: [106/1439] 300491.SZ: fetched=117, saved=113, filtered=0, err=0 | 进度: 56只/分, 预计剩余: 24分
2026-08-11 16:09:08,125 [INFO] __main__: [107/1439] 300496.SZ: fetched=529, saved=495, filtered=28, err=0 | 进度: 55只/分, 预计剩余: 24分
2026-08-11 16:09:09,353 [INFO] __main__: [108/1439] 300497.SZ: fetched=156, saved=154, filtered=2, err=0 | 进度: 55只/分, 预计剩余: 24分
2026-08-11 16:09:10,783 [INFO] __main__: [109/1439] 300499.SZ: fetched=402, saved=398, filtered=0, err=0 | 进度: 55只/分, 预计剩余: 24分
